Unnamed: 0,Quart 1/4,Quart 1/2,Quart 3/4,Alpha,KappaNaught,1/4 solved h,1/4 fsolve check (should be zero),1/2 solved h,1/2 fsolve check,3/4 solved h,3/4 fsolve check,dE 1/4 (mV),dE 3/4 (mV),dE 1/2 (mV),E1/4 - E 3/4 (mV)
20300,0.25,0.5,0.75,1.0,20.0,5.761303648179683,-0.0,8.803256452633569,0.0,17.947282770172894,-0.0,26.41638476508444,-30.09882671034379,1.8384926480155916,56.51521147542823
20299,0.25,0.5,0.75,1.0,19.901,5.733259166301836,-0.0,8.761164829807223,0.0,17.863122314127533,0.0,26.40832368478683,-30.10763648171889,1.846894421101141,56.51596016650572
20298,0.25,0.5,0.75,1.0,19.802,5.705214428094661,0.0,8.719072594600476,0.0,17.778960754722963,0.0,26.40018894879288,-30.11652918824339,1.8553739326396768,56.51671813703627
20297,0.25,0.5,0.75,1.0,19.703,5.677169430575541,0.0,8.676979739440144,0.0,17.694798077454898,0.0,26.391979531041105,-30.125506010413453,1.8639322743137616,56.51748554145456
20296,0.25,0.5,0.75,1.0,19.604,5.649124170715349,-0.0,8.634886256627409,0.0,17.610634267563306,0.0,26.383694386125203,-30.134568151305757,1.872570558477012,56.51826253743096
20295,0.25,0.5,0.75,1.0,19.505,5.62107864543754,0.0,8.592792138335222,0.0,17.52646931002674,0.0,26.37533244883193,-30.143716837121524,1.8812899186486116,56.51904928595346
20294,0.25,0.5,0.75,1.0,19.406,5.593032851617206,0.0,8.550697376605598,-0.0,17.442303189556537,0.0,26.36689263366553,-30.15295331774645,1.8900915100221112,56.51984595141199
20293,0.25,0.5,0.75,1.0,19.307,5.564986786080138,0.0,8.508601963346884,0.0,17.358135890590816,0.0,26.35837383435832,-30.162278867326982,1.898976509989104,56.5206527016853
20292,0.25,0.5,0.75,1.0,19.208,5.536940445601838,0.0,8.46650589033091,0.0,17.273967397288363,0.0,26.349774923366933,-30.171694784863572,1.9079461186782445,56.52146970823051
20291,0.25,0.5,0.75,1.0,19.109,5.508893826906516,0.0,8.424409149190106,-0.0,17.189797693522284,-0.0,26.341094751353666,-30.18120239482166,1.9170015595100984,56.522297146175326
20290,0.25,0.5,0.75,1.0,19.01,5.48084692666607,0.0,8.38231173141454,-0.0,17.10562676287358,-0.0,26.332332146652547,-30.190803047760376,1.9261440797684335,56.52313519441292
20289,0.25,0.5,0.75,1.0,18.911,5.452799741499041,-0.0,8.340213628348856,0.0,17.02145458862445,0.0,26.323485914719388,-30.20049812098059,1.935374951188502,56.52398403569998
20288,0.25,0.5,0.75,1.0,18.812,5.424752267969525,0.0,8.29811483118915,0.0,16.93728115375147,-0.0,26.314554837565534,-30.210289019191837,1.9446954705629085,56.52484385675737
20287,0.25,0.5,0.75,1.0,18.713,5.396704502586083,0.0,8.256015330979771,-0.0,16.85310644091856,0.0,26.30553767317444,-30.22017717519992,1.954106960365653,56.52571484837436
20286,0.25,0.5,0.75,1.0,18.614,5.368656441800604,0.0,8.213915118610034,0.0,16.768930432469762,0.0,26.296433154900605,-30.230164050614924,1.963610769395069,56.52659720551553
20285,0.25,0.5,0.75,1.0,18.515,5.340608082007156,0.0,8.171814184810826,0.0,16.684753110421806,0.0,26.28723999085037,-30.24025113658106,1.973208273436276,56.52749112743143
20284,0.25,0.5,0.75,1.0,18.416,5.312559419540801,0.0,8.129712520151156,0.0,16.600574456456506,0.0,26.27795686324368,-30.25043995452879,1.9829008759437807,56.52839681777248
20283,0.25,0.5,0.75,1.0,18.317,5.284510450676375,0.0,8.087610115034597,0.0,16.516394451912884,-0.0,26.268582427756154,-30.260732056950246,1.9926900087451176,56.5293144847064
20282,0.25,0.5,0.75,1.0,18.218,5.256461171627251,0.0,8.04550695969563,0.0,16.432213077779103,0.0,26.25911531284105,-30.27112902819843,2.0025771327661466,56.53024434103948
20281,0.25,0.5,0.75,1.0,18.119,5.228411578544063,-0.0,8.003403044195895,0.0,16.348030314684173,-0.0,26.249554119029995,-30.2816324853115,2.0125637387788413,56.5311866043415
20280,0.25,0.5,0.75,1.0,18.02,5.200361667513397,0.0,7.961298358420352,0.0,16.263846142889438,0.0,26.23989741821188,-30.29224407886284,2.0226513481724098,56.53214149707472
20279,0.25,0.5,0.75,1.0,17.921,5.172311434556453,0.0,7.919192892073314,0.0,16.179660542279738,0.0,26.23014375288923,-30.302965493837718,2.0328415137485383,56.533109246726944
20278,0.25,0.5,0.75,1.0,17.822,5.144260875627672,0.0,7.8770866346744,0.0,16.09547349235444,0.0,26.22029163541097,-30.313798450537902,2.043135820541796,56.53409008594888
20277,0.25,0.5,0.75,1.0,17.723,5.116209986613328,0.0,7.83497957555436,0.0,16.011284972218093,0.0,26.210339547180915,-30.324744705514814,2.0535358866659013,56.535084252695725
20276,0.25,0.5,0.75,1.0,17.624,5.088158763330082,0.0,7.7928717038507935,0.0,15.927094960570871,-0.0,26.200285937840928,-30.335806052532792,2.064043364187085,56.53609199037372
20275,0.25,0.5,0.75,1.0,17.525,5.060107201523507,0.0,7.75076300850375,0.0,15.842903435698757,0.0,26.190129224427924,-30.34698432356309,2.0746599400253505,56.53711354799101
